6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
36 1
36 2
36 3
36 4
36 5
36 6
36 7
36 8
36 9
36 10
60 1
60 2
60 3
60 4
60 5
60 6
60 7
60 8
60 9
60 10
182 1
182 2
182 3
182 4
182 5
182 6
182 7
182 8
182 9
182 10
300 1
300 2
300 3
300 4
300 5
300 6
300 7
300 8
300 9
300 10
458 1
458 2
458 3
458 4
458 5
458 6
458 7
458 8
458 9
458 10
554 1
554 2
554 3
554 4
554 5
554 6
554 7
554 8
554 9
554 10
1479 1
1479 2
1479 3
1479 4
1479 5
1479 6
1479 7
1479 8
1479 9
1479 10
1489 1
1489 2
1489 3
1489 4
1489 5
1489 6
1489 7
1489 8
1489 9
1489 10
1510 1
1510 2
1510 3
1510 4
1510 5
1510 6
1510 7
1510 8
1510 9
1510 10
1515 1
1515 2
1515 3
1515 4
1515 5
1515 6
1515 7
1515 8
1515 9
1515 10
4134 1
4134 2
4134 3
4134 4
4134 5
4134 6
4134 7
4134 8
4134 9
4134 10
4538 1
4538 2
4538 3
4538 4
4538 5
4538 6
4538 7
4538 8
4538 9
4538 10
40927 1
40927 2
40927 3
40927 4
40927 5
40927 6
40927 7
40927 8
40927 9
40927 10
40978 1
40978 2
40978 3
40978 4
40978 5
40978 6
40978 7
40978 8
40978 9
40978 10
